name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
CÔNG TY TNHH SUNWINS,31/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 6,NHÂN VIÊN QUẢN LÝ NHÂN SỰ MẢNG ONLINE,CV2020-25796
Công ty Cổ phần Kingfood Market,23/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 7, Quận 10, Quận Tân Bình",CỬA HÀNG TRƯỞNG / PHÓ NV BÁN HÀNG/THU NGÂN BẢO VỆ,CV2020-25791
CÔNG TY DỊCH VỤ BẢO VỆ NGÂN HÀNG Á CHÂU,04/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 10,NHÂN VIÊN BẢO VỆ ( NGÂN HÀNG),CV2021-25798
CÔNG TY HUY HIỆU THANH NIÊN,05/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Gò Vấp,LAO ĐỘNG PHỔ THÔNG,CV2021-25799
CHI NHÁNH CÔNG TY TNHH MM MEGA MARKET VN,09/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 2,THU NGÂN / BÁN HÀNG SIÊU THỊ (THỜI VỤ TẾT),CV2021-25801
CỬA HÀNG VĂN PHÒNG PHẨM KHÁNH HÀ,14/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,GIAO HÀNG VĂN PHÒNG PHẨM,CV2021-25805
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,21/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,bốn Nam BẢO VỆ - hai Nữ TẠP VỤ,CV2021-25809
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT SOMICO,26/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Gò Vấp,TÀI XẾ LÁI XE,CV2021-25812
CÔNG TY TÀI CHÍNH CỔ PHẦN TÍN VIỆT (VietCredit),03/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 7, Quận 11, Quận Bình Tân, Quận Bình Thạnh, Quận Tân Bình",TƯ VẤN TÀI CHÍNH,CV2021-25813
CÔNG TY DỊCH VỤ BẢO VỆ NGÂN HÀNG Á CHÂU,18/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 10,NHÂN VIÊN BẢO VỆ NGÂN HÀNG,CV2021-25817
Công Ty TNHH Nước Giải Khát Suntory Pepsico Việt Nam,22/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 1, Quận 2, Quận 3, Quận 4, Quận 5, Quận 6, Quận 7, Quận 8, Quận 9, Quận 10, Quận 11, Quận 12, Quận Bình Tân, Quận Bình Thạnh, Quận Gò Vấp, Quận Phú nhuận, Quận Tân Bình, Quận Tân Phú, Quận Thủ Đức",Nhân Viên Bán Hàng,CV2021-25818
CÔNG TY TNHH MTV CỎ XANH,22/02/2021,Nhân viên,,1,Không yeu cau,Quận Phú nhuận,NHÂN VIÊN THIẾT KẾ ĐỒ HỌA (GRAPHIC DESIGN),CV2021-25819
Công Ty TNHH MTV TM-DV Thanh An,23/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 7,Kỹ Thuật Viên Chăm Sóc ÔTô,CV2021-25820
CÔNG TY TNHH TOÀN THẮNG,23/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,NHÂN VIÊN ĐIỀU HÀNH,CV2021-25821
CÔNG TY XUẤT NHẬP KHẨU THUỐC LÁ,24/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,NHÂN VIÊN XUẤT NHẬP KHẨU,CV2021-25824
CT TNHH ZEMA VIỆT NAM,24/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 6,"NHÂN VIÊN ( KTV TÓC, KTV NAIL, KTV SPA, KTV PHUN XĂM)",CV2021-25826
CƠ SỞ MAY LONG VŨ,26/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,LAO ĐỘNG PHỔ THÔNG (bao ăn ở),CV2021-25829
Công Ty TNHH Saint-Gobain Việt Nam,26/02/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Nhà Bè,"NHÂN VIÊN BẢO TRÌ CƠ, BẢO TRÌ ĐIỆN, GIÁM SÁT SẢN XUẤT",CV2021-25830
"CT SHIH-FA RUBBER INDUSTRIES ( VN)CO.,LTD",02/03/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Củ Chi,NHÂN VIÊN LAO ĐỘNG PHỔ THÔNG,CV2021-25832
